year,pcr,size,julian,cond__,effect1__,prevalence,se__,lower__,upper__,region,prevalence_perc
2014,0.2234478411597857,57.41411913016073,197.94516230696502,1,2014,0.04361161660864112,0.00907792338212175,0.02808960391828687,0.06476607056734038,EBS,4.361161660864112
2015,0.2234478411597857,57.41411913016073,197.94516230696502,1,2015,0.13398258158552628,0.01772784836391736,0.10197468593463148,0.17218952867676834,EBS,13.398258158552629
2016,0.2234478411597857,57.41411913016073,197.94516230696502,1,2016,0.31617705746428615,0.023993183914230224,0.2707797712253128,0.36361874888585677,EBS,31.617705746428616
2017,0.2234478411597857,57.41411913016073,197.94516230696502,1,2017,0.38007645722676436,0.032475642083731326,0.31908369122881386,0.445201864017493,EBS,38.007645722676436
2018,0.2234478411597857,57.41411913016073,197.94516230696502,1,2018,0.31482340527242936,0.039410375932206636,0.2426385344920416,0.3942936489694347,EBS,31.482340527242936
2019,0.2234478411597857,57.41411913016073,197.94516230696502,1,2019,0.3595508107721841,0.03697338855638944,0.29108907391873834,0.43277234922770563,EBS,35.95508107721841
2022,0.2234478411597857,57.41411913016073,197.94516230696502,1,2022,0.42468046190331354,0.03906180298653079,0.34938262941719134,0.5034373356387682,EBS,42.46804619033136
2023,0.2234478411597857,57.41411913016073,197.94516230696502,1,2023,0.34783932909938775,0.04263384786038695,0.26830060916496185,0.4344540336014334,EBS,34.78393290993878
2017,0.5949820788530465,42.23290322580645,223.91397849462365,1,2017,0.25354383356472,0.25447208961906626,0.008706942664341069,0.7852648335233621,NBS,25.354383356472
2018,0.5949820788530465,42.23290322580645,223.91397849462365,1,2018,0.8761497862851013,0.03612177382862235,0.7908308083334308,0.9349536618932629,NBS,87.61497862851013
2019,0.5949820788530465,42.23290322580645,223.91397849462365,1,2019,0.6122798952015591,0.0807646208988036,0.44857119706116516,0.7593840145530343,NBS,61.227989520155916
2022,0.5949820788530465,42.23290322580645,223.91397849462365,1,2022,0.6077526214266235,0.12681689714907607,0.344174745818991,0.8148884185551187,NBS,60.77526214266234
2023,0.5949820788530465,42.23290322580645,223.91397849462365,1,2023,0.4073718416426759,0.12409674653567757,0.19807583618853566,0.6485725149501759,NBS,40.73718416426759
